"","Player","FG.","Dist.","X2P_..of.FGA.by.Distance","X0.3_..of.FGA.by.Distance","X3.10_..of.FGA.by.Distance","X10.16_..of.FGA.by.Distance","X16.3P_..of.FGA.by.Distance","X3P_..of.FGA.by.Distance","X2P_FG..by.Distance","X0.3_FG..by.Distance","X3.10_FG..by.Distance","X10.16_FG..by.Distance","X16.3P_FG..by.Distance","X3P_FG..by.Distance","X2P_..of.FG.Ast.d","X3P_..of.FG.Ast.d","X.FGA_Dunks","X._Dunks","X.3PA_Corner.3s","X3P._Corner.3s","Cluster_Number"
"34","Bradley Beal",0.455,14.7,0.631,0.239,0.141,0.135,0.115,0.369,0.515,0.689,0.397,0.438,0.387,0.353,0.376,0.635,0.035,41,0.119,0.316,3
"48","Bojan Bogdanović",0.447,15.4,0.511,0.195,0.207,0.08,0.029,0.489,0.479,0.698,0.361,0.333,0.259,0.414,0.507,0.857,0.029,22,0.282,0.473,1
"53","Devin Booker",0.487,14.1,0.687,0.233,0.131,0.21,0.114,0.313,0.544,0.723,0.452,0.472,0.417,0.36,0.44,0.619,0.016,18,0.094,0.364,3
"62","Miles Bridges",0.424,12.9,0.602,0.308,0.226,0.05,0.017,0.398,0.486,0.621,0.335,0.316,0.538,0.33,0.514,0.939,0.07,47,0.353,0.377,1
"65","Malcolm Brogdon",0.439,13.8,0.704,0.326,0.083,0.106,0.188,0.296,0.491,0.535,0.291,0.529,0.484,0.313,0.197,0.393,0.009,6,0.072,0.214,3
"69","Jaylen Brown",0.49,13.3,0.636,0.275,0.202,0.093,0.066,0.364,0.552,0.708,0.417,0.5,0.392,0.381,0.469,0.888,0.047,31,0.278,0.474,3
"79","Jimmy Butler",0.454,10.2,0.838,0.335,0.258,0.15,0.096,0.162,0.494,0.649,0.435,0.389,0.275,0.248,0.391,0.552,0.072,52,0.197,0.217,3
"83","Clint Capela",0.629,2.3,1,0.76,0.232,0.008,0,0,0.629,0.722,0.333,0.333,0,0,0.803,0,0.327,123,0,0,2
"104","John Collins",0.583,9.4,0.757,0.469,0.185,0.068,0.035,0.243,0.642,0.768,0.473,0.293,0.524,0.401,0.748,0.966,0.221,117,0.129,0.368,2
"110","Robert Covington",0.432,18.6,0.346,0.221,0.091,0.014,0.02,0.654,0.589,0.671,0.441,0.444,0.462,0.349,0.78,0.919,0.017,10,0.118,0.38,1
"118","Anthony Davis",0.511,11,0.805,0.346,0.174,0.157,0.128,0.195,0.554,0.753,0.434,0.417,0.346,0.335,0.582,1,0.159,144,0.175,0.441,3
"123","DeMar DeRozan",0.526,9.6,0.969,0.269,0.26,0.258,0.181,0.031,0.535,0.739,0.478,0.453,0.428,0.267,0.271,0.875,0.03,28,0.333,0.4,3
"127","Spencer Dinwiddie",0.415,13.3,0.608,0.31,0.191,0.078,0.028,0.392,0.485,0.637,0.354,0.263,0.31,0.308,0.176,0.496,0.014,14,0.13,0.327,1
"129","Luka Dončić",0.461,14.8,0.558,0.252,0.234,0.059,0.014,0.442,0.574,0.754,0.435,0.385,0.467,0.318,0.166,0.237,0.012,13,0.018,0.333,3
"135","Andre Drummond",0.533,4.3,0.955,0.589,0.334,0.027,0.005,0.045,0.551,0.662,0.393,0.19,0,0.143,0.574,0.8,0.136,95,0.2,0.429,2
"141","Joel Embiid",0.474,12.8,0.77,0.248,0.187,0.195,0.14,0.23,0.511,0.718,0.473,0.394,0.357,0.348,0.471,0.911,0.06,39,0.037,0.333,3
