"","PLAYER","PTS","FGM","FGA","FG.","X3PM","X3PA","X3P.","FTM","FTA","FT.","OREB","DREB","REB","AST","TOV","STL","BLK","PF","Plus_Minus","OFFRTG","DEFRTG","NETRTG","AST.","AST.TO","ASTÂ.Ratio","OREB.","DREB.","REB.","TOÂ.Ratio","eFG.","TS.","USG.","PIE","Cluster_Number"
"176","Danilo Gallinari",19.2,6,13.6,0.439,3,7.3,0.409,4.3,4.8,0.886,0.6,4.9,5.5,2.1,1.3,0.7,0.1,1.2,3.6,116.8,111.8,5.1,0.101,1.61,10.8,0.02,0.16,0.092,6.7,0.549,0.611,0.24,13,2
"179","Luka Doncic",28.7,9.5,20.6,0.461,2.9,9.1,0.318,6.8,9.1,0.752,1.3,8,9.3,8.7,4.2,1.1,0.2,2.5,4.8,117,110.8,6.2,0.448,2.07,23.4,0.037,0.222,0.132,11.3,0.531,0.584,0.358,19.3,3
"181","Andrew Wiggins",21.8,8.1,18.1,0.447,2.1,6.2,0.332,3.5,5,0.709,1.2,3.9,5.1,3.7,2.4,0.8,1,2.4,-3.7,107.7,112.8,-5.1,0.18,1.5,13.9,0.033,0.11,0.07,9.3,0.504,0.536,0.269,10.4,2
"185","Jimmy Butler",20.2,6.1,13.4,0.454,0.5,2.2,0.248,7.6,9.1,0.833,1.8,4.8,6.6,6.1,2.2,1.7,0.5,1.4,4.2,113.4,108.5,4.9,0.284,2.81,23.9,0.054,0.137,0.097,8.5,0.474,0.583,0.248,15.7,3
"188","Nikola Vucevic",19.5,7.9,16.9,0.47,1.5,4.6,0.329,2.1,2.7,0.781,2.4,8.6,11,3.7,1.4,0.9,0.9,2.2,0.1,109.4,109.8,-0.4,0.186,2.62,16.1,0.071,0.27,0.167,6.2,0.515,0.54,0.256,14.9,1
"189","Ben Simmons",16.7,6.7,11.4,0.585,0,0.1,0.333,3.3,5.3,0.627,2,5.8,7.8,8.2,3.6,2.1,0.6,3.2,1.5,109.1,106.9,2.2,0.34,2.3,32,0.054,0.158,0.106,13.9,0.587,0.608,0.205,14.5,3
"192","Marcus Smart",13.5,4.5,11.9,0.38,2.4,6.9,0.348,2,2.4,0.835,0.8,3.1,3.8,4.8,1.7,1.6,0.5,2.7,4.5,110.9,104.3,6.7,0.214,2.89,24.9,0.021,0.089,0.055,8.6,0.481,0.519,0.187,9.2,2
"195","Russell Westbrook",27.5,10.7,22.6,0.474,1,3.8,0.254,5.1,6.5,0.777,1.8,6.3,8,7,4.5,1.7,0.3,3.5,2.7,110.3,106.7,3.6,0.338,1.57,19,0.044,0.16,0.102,12.1,0.495,0.539,0.33,14.8,3
"201","LaMarcus Aldridge",18.9,7.4,15,0.493,1.2,3,0.389,3,3.6,0.827,1.9,5.5,7.4,2.4,1.4,0.7,1.6,2.4,-2.4,110.2,113.4,-3.2,0.117,1.74,12,0.058,0.162,0.11,6.9,0.532,0.571,0.236,12,2
"202","Pascal Siakam",23.6,8.7,18.9,0.459,2.2,6,0.359,4.2,5.2,0.8,1.1,6.5,7.5,3.6,2.5,1,0.9,2.8,6.8,112.8,104,8.7,0.165,1.45,13.3,0.03,0.166,0.101,9.2,0.517,0.559,0.282,13.2,3
"210","Kyle Lowry",19.7,5.9,14.3,0.417,2.9,8.3,0.354,4.9,5.7,0.861,0.6,4.3,4.8,7.7,3,1.3,0.4,3.2,4.8,111.1,105,6.1,0.309,2.59,28.2,0.015,0.108,0.063,10.9,0.52,0.589,0.225,12.3,3
"213","Kristaps Porzingis",19.2,6.6,15.8,0.42,2.5,7.1,0.349,3.5,4.5,0.776,1.7,7.7,9.5,1.7,1.6,0.7,2.1,3.1,5.8,115.7,107.1,8.6,0.086,1.06,8.3,0.053,0.222,0.14,7.8,0.498,0.54,0.258,12.4,1
"214","Kawhi Leonard",26.9,9.3,19.9,0.469,2.1,5.7,0.366,6.1,6.9,0.889,1,6.3,7.3,5,2.7,1.8,0.6,1.9,7.8,115.7,104.3,11.4,0.262,1.81,16.4,0.03,0.18,0.107,9,0.521,0.585,0.328,19.3,3
"220","Jaylen Brown",20.4,7.6,15.4,0.49,2.1,5.6,0.381,3.2,4.3,0.736,1.1,5.3,6.4,2.2,2.3,1.1,0.3,3,3.9,113.4,106.9,6.5,0.1,0.94,10,0.031,0.148,0.09,10.6,0.559,0.589,0.245,11.4,2
"221","Kemba Walker",21.2,7,16.6,0.421,3.3,8.8,0.377,3.9,4.5,0.867,0.7,3.4,4.1,4.9,2.1,0.9,0.5,1.5,4.8,116,108.5,7.5,0.233,2.31,19.4,0.02,0.104,0.062,8.4,0.52,0.569,0.273,13.2,3
"222","Lauri Markkanen",14.7,5,11.8,0.425,2.2,6.3,0.344,2.5,3.1,0.824,1.2,5.1,6.3,1.5,1.6,0.8,0.5,1.9,-1.4,105.3,107.3,-2,0.077,0.91,9.1,0.038,0.174,0.104,10,0.517,0.56,0.209,10.3,2
"231","Carmelo Anthony",15.3,5.8,13.6,0.426,1.4,3.9,0.371,2.3,2.7,0.843,1.2,5,6.3,1.6,1.7,0.8,0.5,2.8,0.1,112.8,112.5,0.3,0.069,0.91,8.7,0.037,0.142,0.091,9.6,0.479,0.517,0.218,7.8,2
